"include","ntips","type","model","estimate.mean","estimate.varriance","estimate.median","sim.mean","sim.varriance","sim.median","diff.mean","diff.varriance","diff.median"
"all",100,"er","1Char",-0.38993526, 8.36383083, 0.09906071, 0.035875019, 0.350914899, 0.069568502,-0.4258102772, 7.7928325059, 0.0729752557
"all",250,"er","1Char",-0.08555605, 2.60751451, 0.02879846, 0.035875019, 0.350914899, 0.069568502,-0.1214310705, 2.2462544922, 0.0264057424
"all",500,"er","1Char", 0.03865189, 0.46615867, 0.03016322, 0.035875019, 0.350914899, 0.069568502, 0.0027768671, 0.0840153018, 0.0171856603
"all",100,"l0","1Char",-0.43699941, 9.12006241, 0.10126284, 0.035875019, 0.350914899, 0.069568502,-0.4728744314, 8.5503912120, 0.0729599086
"all",250,"l0","1Char",-0.08302292, 2.56948575, 0.02644214, 0.035875019, 0.350914899, 0.069568502,-0.1188979415, 2.2097042655, 0.0270532228
"all",500,"l0","1Char", 0.03793034, 0.46685871, 0.02809052, 0.035875019, 0.350914899, 0.069568502, 0.0020553175, 0.0844124634, 0.0183236146
"all",100,"l1","1Char",-0.96366468,12.23889402,-0.14145861, 0.035875019, 0.350914899, 0.069568502,-0.9995397023,11.9308500139,-0.1541381573
"all",250,"l1","1Char",-0.25225385, 3.37775276,-0.05165067, 0.035875019, 0.350914899, 0.069568502,-0.2881288724, 3.0572692924,-0.0572899289
"all",500,"l1","1Char",-0.02257851, 0.62642471,-0.02008765, 0.035875019, 0.350914899, 0.069568502,-0.0584535249, 0.2820851053,-0.0215180114
"all",100,"l2","1Char",-0.86785589, 7.84397242,-0.27404186, 0.035875019, 0.350914899, 0.069568502,-0.9037309093, 7.6087445548,-0.3117006971
"all",250,"l2","1Char",-0.33521865, 2.60849442,-0.12879945, 0.035875019, 0.350914899, 0.069568502,-0.3710936737, 2.4413572289,-0.1681798001
"all",500,"l2","1Char",-0.08782499, 0.34470993,-0.06114001, 0.035875019, 0.350914899, 0.069568502,-0.1237000092, 0.0894117656,-0.0922722612
