"include","ntips","type","par","estimate.mean","estimate.varriance","estimate.median","sim.mean","sim.varriance","sim.median","diff.mean","diff.varriance","diff.median"
"all",100,"er","1_2",-4.602176e-01, 9.565641e+00, 8.938124e-02, 0.057715842, 0.417463661, 0.077991434,-0.5179334312, 8.7220699813, 0.0787234457
"all",250,"er","1_2",-8.702657e-03, 2.143737e+00, 7.015092e-02, 0.057715842, 0.417463661, 0.077991434,-0.0664184997, 1.7113321141, 0.0349037298
"all",500,"er","1_2", 5.981849e-02, 5.192305e-01, 3.409174e-02, 0.057715842, 0.417463661, 0.077991434, 0.0021026486, 0.0742576597, 0.0171856603
"all",100,"l0","1_2",-4.630646e-01, 9.552171e+00, 1.008973e-01, 0.057715842, 0.417463661, 0.077991434,-0.5207804254, 8.7452761337, 0.0810940218
"all",250,"l0","1_2",-9.955078e-03, 2.232059e+00, 7.453675e-02, 0.057715842, 0.417463661, 0.077991434,-0.0676709200, 1.8021007678, 0.0329140613
"all",500,"l0","1_2", 5.903737e-02, 5.192392e-01, 3.512844e-02, 0.057715842, 0.417463661, 0.077991434, 0.0013215291, 0.0745985819, 0.0181648294
"all",100,"l1","1_2",-1.041499e+00, 1.323000e+01,-1.522182e-01, 0.057715842, 0.417463661, 0.077991434,-1.0992146881,12.6831622500,-0.1638547200
"all",250,"l1","1_2",-1.833840e-01, 3.017799e+00,-1.041635e-02, 0.057715842, 0.417463661, 0.077991434,-0.2410998852, 2.6155899540,-0.0531829359
"all",500,"l1","1_2",-7.454901e-03, 7.613444e-01,-1.832545e-02, 0.057715842, 0.417463661, 0.077991434,-0.0651707431, 0.3799576757,-0.0229879471
"all",100,"l2","1_2",-9.019650e-01, 8.250872e+00,-2.740419e-01, 0.057715842, 0.417463661, 0.077991434,-0.9596808264, 7.8725401227,-0.3378081054
"all",250,"l2","1_2",-2.608775e-01, 1.936876e+00,-9.549529e-02, 0.057715842, 0.417463661, 0.077991434,-0.3185933204, 1.7365460950,-0.1681039439
"all",500,"l2","1_2",-7.698394e-02, 3.807194e-01,-5.629385e-02, 0.057715842, 0.417463661, 0.077991434,-0.1346997786, 0.0953995668,-0.1025600015
"all",100,"er","1|1_1|2",-1.295208e+00, 1.286990e+01,-7.104149e-02, 0.017722112, 0.373693872,-0.020177231,-1.3129298419,12.1160054013,-0.0513779383
"all",250,"er","1|1_1|2",-6.386000e-01, 6.462829e+00,-4.288419e-02, 0.017722112, 0.373693872,-0.020177231,-0.6563221375, 5.8398416349,-0.0163492829
"all",500,"er","1|1_1|2",-2.328033e-01, 2.940726e+00,-3.958317e-03, 0.017722112, 0.373693872,-0.020177231,-0.2505253976, 2.2751275602, 0.0233229299
"all",100,"l0","1|1_1|2",-1.306154e+00, 1.265304e+01,-1.159173e-01, 0.017722112, 0.373693872,-0.020177231,-1.3238763397,11.9936696237,-0.0478604420
"all",250,"l0","1|1_1|2",-5.988619e-01, 5.818694e+00,-3.139644e-02, 0.017722112, 0.373693872,-0.020177231,-0.6165839902, 5.2174949353,-0.0314758690
"all",500,"l0","1|1_1|2",-1.975017e-01, 2.582092e+00, 4.822241e-03, 0.017722112, 0.373693872,-0.020177231,-0.2152237673, 1.9385505429, 0.0236710975
"all",100,"l1","1|1_1|2",-1.917030e+00, 1.406985e+01,-3.855986e-01, 0.017722112, 0.373693872,-0.020177231,-1.9347521037,13.4949008277,-0.3628666340
"all",250,"l1","1|1_1|2",-7.802651e-01, 6.196324e+00,-1.459979e-01, 0.017722112, 0.373693872,-0.020177231,-0.7979871659, 5.6340531665,-0.0891971984
"all",500,"l1","1|1_1|2",-2.898699e-01, 3.106120e+00,-4.381868e-02, 0.017722112, 0.373693872,-0.020177231,-0.3075920600, 2.4605989866,-0.0217842290
"all",100,"l2","1|1_1|2",-2.025780e+00, 1.265552e+01,-5.771297e-01, 0.017722112, 0.373693872,-0.020177231,-2.0435016943,12.3025156533,-0.6067654991
"all",250,"l2","1|1_1|2",-9.745272e-01, 5.787826e+00,-2.959475e-01, 0.017722112, 0.373693872,-0.020177231,-0.9922493003, 5.4012460823,-0.2758140087
"all",500,"l2","1|1_1|2",-4.217971e-01, 2.771561e+00,-1.423248e-01, 0.017722112, 0.373693872,-0.020177231,-0.4395192221, 2.2357368111,-0.1325434382
"all",100,"er","1|1_2|1",-1.228077e+00, 1.334184e+01, 2.643561e-03,-0.069048303, 0.331716776,-0.069399397,-1.1590284114,12.7156058058, 0.0588211171
"all",250,"er","1|1_2|1",-7.874522e-01, 7.717006e+00,-9.421354e-02,-0.069048303, 0.331716776,-0.069399397,-0.7184038879, 6.9182142501,-0.0052099684
"all",500,"er","1|1_2|1",-3.163803e-01, 2.692909e+00,-3.710907e-02,-0.069048303, 0.331716776,-0.069399397,-0.2473320251, 2.1616315653, 0.0208652226
"all",100,"l0","1|1_2|1",-1.309678e+00, 1.407983e+01, 9.522185e-03,-0.069048303, 0.331716776,-0.069399397,-1.2406299108,13.3764735955, 0.0495688884
"all",250,"l0","1|1_2|1",-7.216428e-01, 6.831904e+00,-7.823014e-02,-0.069048303, 0.331716776,-0.069399397,-0.6525944536, 6.0463997778, 0.0004323807
"all",500,"l0","1|1_2|1",-3.511284e-01, 3.111295e+00,-4.568406e-02,-0.069048303, 0.331716776,-0.069399397,-0.2820801041, 2.5660325267, 0.0193476393
"all",100,"l1","1|1_2|1",-1.757851e+00, 1.445863e+01,-2.625445e-01,-0.069048303, 0.331716776,-0.069399397,-1.6888030167,13.8372564524,-0.1856480598
"all",250,"l1","1|1_2|1",-8.887309e-01, 7.162536e+00,-1.720793e-01,-0.069048303, 0.331716776,-0.069399397,-0.8196825796, 6.3648318813,-0.0691776013
"all",500,"l1","1|1_2|1",-4.072208e-01, 3.172840e+00,-8.361967e-02,-0.069048303, 0.331716776,-0.069399397,-0.3381725108, 2.6123688509,-0.0113593992
"all",100,"l2","1|1_2|1",-1.898006e+00, 1.194893e+01,-5.110758e-01,-0.069048303, 0.331716776,-0.069399397,-1.8289581458,11.4610124859,-0.4635000829
"all",250,"l2","1|1_2|1",-1.096745e+00, 6.764571e+00,-3.260981e-01,-0.069048303, 0.331716776,-0.069399397,-1.0276970038, 6.0956112004,-0.2522513960
"all",500,"l2","1|1_2|1",-5.730825e-01, 3.502582e+00,-1.832076e-01,-0.069048303, 0.331716776,-0.069399397,-0.5040341513, 3.0168723326,-0.1248642012
"all",100,"er","1|1|1_1|1|2",-1.830699e+00, 1.573198e+01,-2.530898e-02, 0.030703714, 0.362593079, 0.018701348,-1.8614031332,14.9400112474,-0.1722631987
"all",250,"er","1|1|1_1|1|2",-1.246161e+00, 1.017927e+01,-7.337522e-02, 0.030703714, 0.362593079, 0.018701348,-1.2768646001, 9.5120781631,-0.1160607273
"all",500,"er","1|1|1_1|1|2",-6.249513e-01, 5.413273e+00,-3.858907e-04, 0.030703714, 0.362593079, 0.018701348,-0.6556549950, 4.6350305858,-0.0108789801
"all",100,"l0","1|1|1_1|1|2",-1.814367e+00, 1.550852e+01,-3.759342e-02, 0.030703714, 0.362593079, 0.018701348,-1.8450703555,14.7332275657,-0.1696996920
"all",250,"l0","1|1|1_1|1|2",-1.268502e+00, 1.037926e+01,-7.245597e-02, 0.030703714, 0.362593079, 0.018701348,-1.2992058173, 9.6437058860,-0.0875058106
"all",500,"l0","1|1|1_1|1|2",-6.847355e-01, 6.050378e+00,-5.236630e-03, 0.030703714, 0.362593079, 0.018701348,-0.7154391768, 5.2160569534,-0.0122820519
"all",100,"l1","1|1|1_1|1|2",-2.634528e+00, 1.764458e+01,-4.084282e-01, 0.030703714, 0.362593079, 0.018701348,-2.6652318907,16.8581417109,-0.4765235682
"all",250,"l1","1|1|1_1|1|2",-1.457998e+00, 1.093171e+01,-1.492900e-01, 0.030703714, 0.362593079, 0.018701348,-1.4887012235,10.1790028320,-0.2104933692
"all",500,"l1","1|1|1_1|1|2",-7.283709e-01, 5.760565e+00,-4.956157e-02, 0.030703714, 0.362593079, 0.018701348,-0.7590745849, 4.9244198731,-0.0653841418
"all",100,"l2","1|1|1_1|1|2",-3.216902e+00, 1.770144e+01,-8.570306e-01, 0.030703714, 0.362593079, 0.018701348,-3.2476054321,17.2035280970,-0.8783168094
"all",250,"l2","1|1|1_1|1|2",-1.851231e+00, 1.119316e+01,-3.462181e-01, 0.030703714, 0.362593079, 0.018701348,-1.8819346445,10.5386732484,-0.4497298763
"all",500,"l2","1|1|1_1|1|2",-1.014531e+00, 6.401916e+00,-2.030468e-01, 0.030703714, 0.362593079, 0.018701348,-1.0452342344, 5.6526674114,-0.2368743443
"all",100,"er","1|1|1_1|2|1",-2.179081e+00, 1.665236e+01,-3.959716e-01,-0.024461259, 0.367843556,-0.056427705,-2.1546197402,15.9707836909,-0.3009440909
"all",250,"er","1|1|1_1|2|1",-1.417268e+00, 1.177765e+01,-1.079239e-01,-0.024461259, 0.367843556,-0.056427705,-1.3928067136,10.8606153129,-0.0763697971
"all",500,"er","1|1|1_1|2|1",-8.860077e-01, 6.806447e+00,-8.233185e-02,-0.024461259, 0.367843556,-0.056427705,-0.8615464078, 6.1061627458,-0.0371435276
"all",100,"l0","1|1|1_1|2|1",-2.087524e+00, 1.644943e+01,-2.889053e-01,-0.024461259, 0.367843556,-0.056427705,-2.0630629202,15.7246194349,-0.1869240887
"all",250,"l0","1|1|1_1|2|1",-1.379057e+00, 1.128823e+01,-1.084044e-01,-0.024461259, 0.367843556,-0.056427705,-1.3545958714,10.3838778248,-0.0429432706
"all",500,"l0","1|1|1_1|2|1",-8.603302e-01, 6.510557e+00,-8.996509e-02,-0.024461259, 0.367843556,-0.056427705,-0.8358689863, 5.8511497837,-0.0414533720
"all",100,"l1","1|1|1_1|2|1",-2.924012e+00, 1.864731e+01,-6.261669e-01,-0.024461259, 0.367843556,-0.056427705,-2.8995509400,17.8685614652,-0.5323623815
"all",250,"l1","1|1|1_1|2|1",-1.624131e+00, 1.147906e+01,-1.745901e-01,-0.024461259, 0.367843556,-0.056427705,-1.5996700369,10.6658607811,-0.1688573066
"all",500,"l1","1|1|1_1|2|1",-9.418264e-01, 6.868483e+00,-1.257774e-01,-0.024461259, 0.367843556,-0.056427705,-0.9173651182, 6.1716974511,-0.0770620105
