"include","type","ntips","bias","varriance","rmse"
"all","er",100,0.0910783236042221,2.13499222783074,1.36940411493137
"all","er",250,0.112376087263757,1.63688344167708,1.11327728528812
"all","er",500,0.0943025932301455,1.22642210648595,0.849433382622536
"all","l0",100,0.0860498947998871,2.12155565893196,1.36634957588563
"all","l0",250,0.113912255903146,1.63458203303883,1.11213670015965
"all","l0",500,0.0959834970865188,1.23322779121647,0.852768117060915
"all","l1",100,-0.116380745089896,1.56823406211245,1.20801680278066
"all","l1",250,-0.00227986658940416,1.34176706941333,1.01920664736003
"all","l1",500,0.0286800648454471,1.06788801896991,0.787542139824573
"all","l2",100,-0.49743841401474,0.455520133798895,0.95108813277341
"all","l2",250,-0.320708720437397,0.495025013832736,0.791380595821509
"all","l2",500,-0.202806444101344,0.493378396691311,0.629044151970438
"<50","er",100,0.0910783236042221,2.13499222783074,1.36940411493137
"<50","er",250,0.112376087263757,1.63688344167708,1.11327728528812
"<50","er",500,0.0943025932301455,1.22642210648595,0.849433382622536
"<50","l0",100,0.0860498947998871,2.12155565893196,1.36634957588563
"<50","l0",250,0.113912255903146,1.63458203303883,1.11213670015965
"<50","l0",500,0.0959834970865188,1.23322779121647,0.852768117060915
"<50","l1",100,-0.116380745089896,1.56823406211245,1.20801680278066
"<50","l1",250,-0.00227986658940416,1.34176706941333,1.01920664736003
"<50","l1",500,0.0286800648454471,1.06788801896991,0.787542139824573
"<50","l2",100,-0.49743841401474,0.455520133798895,0.95108813277341
"<50","l2",250,-0.320708720437397,0.495025013832736,0.791380595821509
"<50","l2",500,-0.202806444101344,0.493378396691311,0.629044151970438
"<10","er",100,0.0905171502379623,2.11565895123633,1.36882335930769
"<10","er",250,0.112111553469603,1.62696216873413,1.11293117701301
"<10","er",500,0.0938375057227537,1.20939791092379,0.848463786043652
"<10","l0",100,0.0855653263969463,2.1053016547928,1.36580410226003
"<10","l0",250,0.113648447450774,1.62467362809762,1.11179130241174
"<10","l0",500,0.0954770521201148,1.21385012339938,0.851783376980792
"<10","l1",100,-0.116380745089896,1.56823406211245,1.20801680278066
"<10","l1",250,-0.00227986658940416,1.34176706941333,1.01920664736003
"<10","l1",500,0.0285340889160902,1.06045892810547,0.787414957887893
"<10","l2",100,-0.49743841401474,0.455520133798895,0.95108813277341
"<10","l2",250,-0.320708720437397,0.495025013832736,0.791380595821509
"<10","l2",500,-0.202806444101344,0.493378396691311,0.629044151970438
