"include","ntips","type","model","estimate.mean","estimate.varriance","estimate.median","sim.mean","sim.varriance","sim.median","diff.mean","diff.varriance","diff.median"
"all",100,"er","1Char",  1.8517306, 25.4063903,  1.1041333,1.2503629,0.7897019,1.0720461, 6.013677e-01, 2.285383e+01, 7.781235e-02
"all",250,"er","1Char",  1.4066921,  1.8888500,  1.0292177,1.2503629,0.7897019,1.0720461, 1.563292e-01, 7.307130e-01, 2.558484e-02
"all",500,"er","1Char",  1.3200918,  1.1042098,  1.0306227,1.2503629,0.7897019,1.0720461, 6.972899e-02, 1.717281e-01, 1.624827e-02
"all",100,"l0","1Char",  1.8033127, 20.6862723,  1.1065675,1.2503629,0.7897019,1.0720461, 5.529498e-01, 1.838850e+01, 7.556797e-02
"all",250,"l0","1Char",  1.4096501,  1.9066631,  1.0267950,1.2503629,0.7897019,1.0720461, 1.592872e-01, 7.398185e-01, 2.477944e-02
"all",500,"l0","1Char",  1.3194156,  1.1032759,  1.0284898,1.2503629,0.7897019,1.0720461, 6.905273e-02, 1.722418e-01, 1.621871e-02
"all",100,"l1","1Char",  1.0762832,  0.7585510,  0.8680914,1.2503629,0.7897019,1.0720461,-1.740796e-01, 5.624555e-01,-1.308632e-01
"all",250,"l1","1Char",  1.1962911,  0.8802091,  0.9496607,1.2503629,0.7897019,1.0720461,-5.407179e-02, 2.659997e-01,-5.186913e-02
"all",500,"l1","1Char",  1.2318620,  0.8326158,  0.9801128,1.2503629,0.7897019,1.0720461,-1.850090e-02, 1.249259e-01,-2.087647e-02
"all",100,"l2","1Char",  0.8125133,  0.2139810,  0.7603003,1.2503629,0.7897019,1.0720461,-4.378495e-01, 5.822128e-01,-2.556621e-01
"all",250,"l2","1Char",  0.9675624,  0.2823576,  0.8791517,1.2503629,0.7897019,1.0720461,-2.828005e-01, 3.495924e-01,-1.473077e-01
"all",500,"l2","1Char",  1.0747814,  0.3738534,  0.9406923,1.2503629,0.7897019,1.0720461,-1.755815e-01, 2.058274e-01,-7.764616e-02
"all",100,"er","2Char",  2.1852161, 44.6751303,  0.9848210,1.1677493,0.6150657,0.9693577, 1.017467e+00, 4.341734e+01,-2.339406e-03
"all",250,"er","2Char",  1.4816717,  7.7691376,  0.9694895,1.1677493,0.6150657,0.9693577, 3.139224e-01, 7.035982e+00,-5.953181e-04
"all",500,"er","2Char",  1.2812859,  1.3160148,  0.9827659,1.1677493,0.6150657,0.9693577, 1.135366e-01, 6.221124e-01, 1.444496e-02
"all",100,"l0","2Char",  2.2023297, 46.3820466,  0.9788235,1.1677493,0.6150657,0.9693577, 1.034580e+00, 4.510321e+01,-4.500478e-03
"all",250,"l0","2Char",  1.4865182,  7.9410505,  0.9723969,1.1677493,0.6150657,0.9693577, 3.187689e-01, 7.139461e+00, 7.180922e-04
"all",500,"l0","2Char",  1.2817066,  1.3096979,  0.9844064,1.1677493,0.6150657,0.9693577, 1.139573e-01, 6.174504e-01, 1.432460e-02
"all",100,"l1","2Char",  1.0596372,  1.3393726,  0.7461967,1.1677493,0.6150657,0.9693577,-1.081121e-01, 1.151804e+00,-1.888678e-01
"all",250,"l1","2Char",  1.1697114,  1.1966416,  0.8774129,1.1677493,0.6150657,0.9693577, 1.962056e-03, 8.324307e-01,-6.986247e-02
"all",500,"l1","2Char",  1.1913830,  0.9414889,  0.9439731,1.1677493,0.6150657,0.9693577, 2.363368e-02, 3.674211e-01,-2.032876e-02
"all",100,"l2","2Char",  0.6897899,  0.3580171,  0.5896024,1.1677493,0.6150657,0.9693577,-4.779594e-01, 6.166146e-01,-3.805155e-01
"all",250,"l2","2Char",  0.8639477,  0.4050805,  0.7549222,1.1677493,0.6150657,0.9693577,-3.038016e-01, 4.561912e-01,-2.063525e-01
"all",500,"l2","2Char",  0.9881693,  0.4299422,  0.8584247,1.1677493,0.6150657,0.9693577,-1.795800e-01, 2.574374e-01,-1.134347e-01
"all",100,"er","3Char",  3.1218562,111.1227716,  0.7796367,1.1373912,0.4424616,0.9948381, 1.984465e+00, 1.098610e+02,-1.920471e-01
"all",250,"er","3Char",  1.6881625, 19.1507089,  0.9213466,1.1373912,0.4424616,0.9948381, 5.507713e-01, 1.847037e+01,-6.080010e-02
"all",500,"er","3Char",  1.3188312,  3.3070919,  0.9613801,1.1373912,0.4424616,0.9948381, 1.814399e-01, 2.767023e+00,-2.188964e-02
"all",100,"l0","3Char",  3.0807710,106.9652267,  0.7782123,1.1373912,0.4424616,0.9948381, 1.943380e+00, 1.058829e+02,-1.986985e-01
"all",250,"l0","3Char",  1.6942939, 19.7202060,  0.9222920,1.1373912,0.4424616,0.9948381, 5.569026e-01, 1.902333e+01,-5.722818e-02
"all",500,"l0","3Char",  1.3182898,  3.2788075,  0.9606455,1.1373912,0.4424616,0.9948381, 1.808985e-01, 2.733272e+00,-2.309465e-02
"all",100,"l1","3Char",  1.1181585,  2.4397417,  0.5627318,1.1373912,0.4424616,0.9948381,-1.923270e-02, 2.341390e+00,-3.654794e-01
"all",250,"l1","3Char",  1.2031543,  1.9538019,  0.8364652,1.1373912,0.4424616,0.9948381, 6.576304e-02, 1.667087e+00,-1.390094e-01
"all",500,"l1","3Char",  1.1947802,  1.3303362,  0.9223801,1.1373912,0.4424616,0.9948381, 5.738898e-02, 9.135857e-01,-5.862003e-02
"all",100,"l2","3Char",  0.6192938,  0.5045825,  0.4065032,1.1373912,0.4424616,0.9948381,-5.180974e-01, 7.363314e-01,-5.131663e-01
"all",250,"l2","3Char",  0.8015485,  0.5415569,  0.6764700,1.1373912,0.4424616,0.9948381,-3.358428e-01, 6.014702e-01,-3.071696e-01
"all",500,"l2","3Char",  0.9209911,  0.5238919,  0.7975753,1.1373912,0.4424616,0.9948381,-2.164002e-01, 4.197129e-01,-1.805650e-01
"<50",100,"er","1Char",  1.6276895,  4.6133107,  1.0991932,1.2431607,0.7701606,1.0708910, 3.845288e-01, 3.344255e+00, 7.673878e-02
"<50",250,"er","1Char",  1.4066921,  1.8888500,  1.0292177,1.2503629,0.7897019,1.0720461, 1.563292e-01, 7.307130e-01, 2.558484e-02
"<50",500,"er","1Char",  1.3200918,  1.1042098,  1.0306227,1.2503629,0.7897019,1.0720461, 6.972899e-02, 1.717281e-01, 1.624827e-02
"<50",100,"l0","1Char",  1.6283082,  4.6961436,  1.1049720,1.2447350,0.7747215,1.0708910, 3.835732e-01, 3.379520e+00, 7.483228e-02
"<50",250,"l0","1Char",  1.4096501,  1.9066631,  1.0267950,1.2503629,0.7897019,1.0720461, 1.592872e-01, 7.398185e-01, 2.477944e-02
"<50",500,"l0","1Char",  1.3194156,  1.1032759,  1.0284898,1.2503629,0.7897019,1.0720461, 6.905273e-02, 1.722418e-01, 1.621871e-02
"<50",100,"l1","1Char",  1.0762832,  0.7585510,  0.8680914,1.2503629,0.7897019,1.0720461,-1.740796e-01, 5.624555e-01,-1.308632e-01
"<50",250,"l1","1Char",  1.1962911,  0.8802091,  0.9496607,1.2503629,0.7897019,1.0720461,-5.407179e-02, 2.659997e-01,-5.186913e-02
"<50",500,"l1","1Char",  1.2318620,  0.8326158,  0.9801128,1.2503629,0.7897019,1.0720461,-1.850090e-02, 1.249259e-01,-2.087647e-02
"<50",100,"l2","1Char",  0.8125133,  0.2139810,  0.7603003,1.2503629,0.7897019,1.0720461,-4.378495e-01, 5.822128e-01,-2.556621e-01
"<50",250,"l2","1Char",  0.9675624,  0.2823576,  0.8791517,1.2503629,0.7897019,1.0720461,-2.828005e-01, 3.495924e-01,-1.473077e-01
"<50",500,"l2","1Char",  1.0747814,  0.3738534,  0.9406923,1.2503629,0.7897019,1.0720461,-1.755815e-01, 2.058274e-01,-7.764616e-02
"<50",100,"er","2Char",  1.7861211,  9.8226552,  0.9790895,1.1649500,0.6096797,0.9690885, 6.211711e-01, 8.983116e+00,-7.928054e-03
"<50",250,"er","2Char",  1.4299830,  3.3757433,  0.9691208,1.1673986,0.6146427,0.9690885, 2.625844e-01, 2.703437e+00,-8.205915e-04
"<50",500,"er","2Char",  1.2812859,  1.3160148,  0.9827659,1.1677493,0.6150657,0.9693577, 1.135366e-01, 6.221124e-01, 1.444496e-02
"<50",100,"l0","2Char",  1.7813059,  9.3896200,  0.9727463,1.1646961,0.6093305,0.9690885, 6.166097e-01, 8.610668e+00,-8.375381e-03
"<50",250,"l0","2Char",  1.4347177,  3.5312916,  0.9711803,1.1673986,0.6146427,0.9690885, 2.673191e-01, 2.790412e+00, 2.045801e-04
"<50",500,"l0","2Char",  1.2817066,  1.3096979,  0.9844064,1.1677493,0.6150657,0.9693577, 1.139573e-01, 6.174504e-01, 1.432460e-02
"<50",100,"l1","2Char",  1.0596372,  1.3393726,  0.7461967,1.1677493,0.6150657,0.9693577,-1.081121e-01, 1.151804e+00,-1.888678e-01
"<50",250,"l1","2Char",  1.1697114,  1.1966416,  0.8774129,1.1677493,0.6150657,0.9693577, 1.962056e-03, 8.324307e-01,-6.986247e-02
"<50",500,"l1","2Char",  1.1913830,  0.9414889,  0.9439731,1.1677493,0.6150657,0.9693577, 2.363368e-02, 3.674211e-01,-2.032876e-02
"<50",100,"l2","2Char",  0.6897899,  0.3580171,  0.5896024,1.1677493,0.6150657,0.9693577,-4.779594e-01, 6.166146e-01,-3.805155e-01
"<50",250,"l2","2Char",  0.8639477,  0.4050805,  0.7549222,1.1677493,0.6150657,0.9693577,-3.038016e-01, 4.561912e-01,-2.063525e-01
"<50",500,"l2","2Char",  0.9881693,  0.4299422,  0.8584247,1.1677493,0.6150657,0.9693577,-1.795800e-01, 2.574374e-01,-1.134347e-01
"<50",100,"er","3Char",  2.1072649, 19.4558133,  0.7540682,1.1330506,0.4339095,0.9937161, 9.742143e-01, 1.892610e+01,-2.156485e-01
"<50",250,"er","3Char",  1.5415364,  6.3253993,  0.9188052,1.1363502,0.4416280,0.9947393, 4.051862e-01, 5.818089e+00,-6.276519e-02
"<50",500,"er","3Char",  1.3052655,  2.1464834,  0.9613477,1.1372231,0.4421400,0.9948035, 1.680425e-01, 1.627270e+00,-2.198521e-02
"<50",100,"l0","3Char",  2.0988386, 19.0569751,  0.7513960,1.1344091,0.4384511,0.9945141, 9.644296e-01, 1.849123e+01,-2.199781e-01
"<50",250,"l0","3Char",  1.5464166,  6.4396066,  0.9194886,1.1363612,0.4416213,0.9947393, 4.100554e-01, 5.918316e+00,-5.891183e-02
"<50",500,"l0","3Char",  1.3047131,  2.1199189,  0.9605222,1.1372231,0.4421400,0.9948035, 1.674900e-01, 1.595410e+00,-2.318903e-02
"<50",100,"l1","3Char",  1.1181585,  2.4397417,  0.5627318,1.1373912,0.4424616,0.9948381,-1.923270e-02, 2.341390e+00,-3.654794e-01
"<50",250,"l1","3Char",  1.2031543,  1.9538019,  0.8364652,1.1373912,0.4424616,0.9948381, 6.576304e-02, 1.667087e+00,-1.390094e-01
"<50",500,"l1","3Char",  1.1947802,  1.3303362,  0.9223801,1.1373912,0.4424616,0.9948381, 5.738898e-02, 9.135857e-01,-5.862003e-02
"<50",100,"l2","3Char",  0.6192938,  0.5045825,  0.4065032,1.1373912,0.4424616,0.9948381,-5.180974e-01, 7.363314e-01,-5.131663e-01
