"include","ntips","type","par","estimate.mean","estimate.varriance","estimate.median","sim.mean","sim.varriance","sim.median","diff.mean","diff.varriance","diff.median"
"all",100,"er","1_2",  1.99793190, 34.49137553,  1.09349881,1.3175723,0.9789113,1.0811158, 6.803596e-01, 3.121076e+01, 8.081588e-02
"all",250,"er","1_2",  1.51128141,  2.40552741,  1.07267046,1.3175723,0.9789113,1.0811158, 1.937091e-01, 9.409132e-01, 3.218117e-02
"all",500,"er","1_2",  1.38317847,  1.29059428,  1.03467999,1.3175723,0.9789113,1.0811158, 6.560619e-02, 1.824028e-01, 1.624827e-02
"all",100,"l0","1_2",  1.91549733, 25.11156193,  1.10617137,1.3175723,0.9789113,1.0811158, 5.979250e-01, 2.234193e+01, 8.257865e-02
"all",250,"l0","1_2",  1.51685381,  2.43840209,  1.07738541,1.3175723,0.9789113,1.0811158, 1.992815e-01, 9.574988e-01, 3.057460e-02
"all",500,"l0","1_2",  1.38191298,  1.28825351,  1.03575302,1.3175723,0.9789113,1.0811158, 6.434069e-02, 1.834906e-01, 1.558369e-02
"all",100,"l1","1_2",  1.10978562,  0.87924586,  0.85880153,1.3175723,0.9789113,1.0811158,-2.077867e-01, 6.088329e-01,-1.369913e-01
"all",250,"l1","1_2",  1.28044348,  1.11235271,  0.98963775,1.3175723,0.9789113,1.0811158,-3.712880e-02, 3.230157e-01,-4.675441e-02
"all",500,"l1","1_2",  1.28438448,  0.96529341,  0.98184177,1.3175723,0.9789113,1.0811158,-3.318780e-02, 1.470776e-01,-2.199628e-02
"all",100,"l2","1_2",  0.81656805,  0.23709302,  0.76030027,1.3175723,0.9789113,1.0811158,-5.010042e-01, 6.884058e-01,-2.810292e-01
"all",250,"l2","1_2",  1.01001150,  0.33184849,  0.90892283,1.3175723,0.9789113,1.0811158,-3.075608e-01, 4.050893e-01,-1.505275e-01
"all",500,"l2","1_2",  1.10498475,  0.43284289,  0.94526145,1.3175723,0.9789113,1.0811158,-2.125875e-01, 2.664187e-01,-8.165014e-02
"all",100,"er","1|1_1|2",  2.07665541, 28.90937532,  0.93142326,1.2299887,0.6712135,0.9800445, 8.466667e-01, 2.680999e+01,-4.964325e-02
"all",250,"er","1|1_1|2",  1.40355378,  2.44224284,  0.95802276,1.2299887,0.6712135,0.9800445, 1.735650e-01, 1.750778e+00,-1.249763e-02
"all",500,"er","1|1_1|2",  1.36629591,  1.53257066,  0.99605091,1.2299887,0.6712135,0.9800445, 1.363072e-01, 6.645733e-01, 2.016072e-02
"all",100,"l0","1|1_1|2",  2.05465718, 26.73810797,  0.89054892,1.2299887,0.6712135,0.9800445, 8.246684e-01, 2.474697e+01,-4.293958e-02
