"include","ntips","type","estimate.mean","estimate.varriance","estimate.median","sim.mean","sim.varriance","sim.median","diff.mean","diff.varriance","diff.median","rmse.mean","rmse.varriance","rmse.median"
"all",100,"er", 2.8267570,90.6574632, 0.8722272,1.1511797,0.5042382,0.9912839, 1.675577300,89.343724842,-0.087208445,  9.5994092,825.0094181,  0.7903180
"all",250,"er", 1.6230194,15.4673456, 0.9451415,1.1511797,0.5042382,0.9912839, 0.471839650,14.752196960,-0.028065854,  3.8696764,293.0006598,  0.5233980
"all",500,"er", 1.3100711, 2.7091881, 0.9713718,1.1511797,0.5042382,0.9912839, 0.158891426, 2.110941489,-0.006161730,  1.4615491, 82.9151864,  0.3522172
"all",100,"l0", 2.7989343,87.8307219, 0.8674448,1.1511797,0.5042382,0.9912839, 1.647754606,86.653320930,-0.089391096,  9.4533522,809.0686591,  0.7911947
"all",250,"l0", 1.6286617,15.9109991, 0.9465357,1.1511797,0.5042382,0.9912839, 0.477482024,15.167618002,-0.026791694,  3.9236668,302.6479984,  0.5229545
"all",500,"l0", 1.3097482, 2.6876688, 0.9708972,1.1511797,0.5042382,0.9912839, 0.158568479, 2.086032236,-0.007179699,  1.4529676, 82.5817590,  0.3502352
"all",100,"l1", 1.1019256, 2.0825110, 0.6532262,1.1511797,0.5042382,0.9912839,-0.049254148, 1.959150745,-0.290508328,  1.4005424,  6.0486254,  0.6731050
"all",250,"l1", 1.1948817, 1.7126233, 0.8581235,1.1511797,0.5042382,0.9912839, 0.043701939, 1.389555673,-0.103782477,  1.1795866,  5.4160552,  0.4837314
"all",500,"l1", 1.1961622, 1.2095910, 0.9332531,1.1511797,0.5042382,0.9912839, 0.044982446, 0.739118001,-0.040544358,  0.8608831,  3.3747381,  0.3320902
"all",100,"l2", 0.6472470, 0.4555681, 0.4990447,1.1511797,0.5042382,0.9912839,-0.503932702, 0.699617846,-0.455808996,  0.9764965,  2.3769361,  0.5760430
"all",250,"l2", 0.8259962, 0.4961159, 0.7131417,1.1511797,0.5042382,0.9912839,-0.325183539, 0.552738881,-0.262492653,  0.8114598,  1.8899501,  0.4193720
"all",500,"l2", 0.9458442, 0.4947712, 0.8240688,1.1511797,0.5042382,0.9912839,-0.205335502, 0.369228431,-0.150963495,  0.6413893,  1.2192520,  0.3061677
"<50",100,"er", 2.0029482,16.3262192, 0.8533247,1.1471127,0.4960956,0.9895670, 0.855835510,15.688462463,-0.100413361,  4.0522156,113.0075064,  0.7805251
"<50",250,"er", 1.5073256, 5.3721493, 0.9429856,1.1503772,0.5036279,0.9906319, 0.356948460, 4.790980399,-0.029290081,  2.2177131, 49.5757917,  0.5224337
"<50",500,"er", 1.3004949, 1.8897853, 0.9713249,1.1510626,0.5040217,0.9911341, 0.149432219, 1.305992974,-0.006237201,  1.1525123, 16.0108178,  0.3521555
"<50",100,"l0", 1.9959283,15.9475908, 0.8514731,1.1481026,0.4994644,0.9898014, 0.847825668,15.295664652,-0.104772717,  4.0017520,108.4033109,  0.7832524
"<50",250,"l0", 1.5120594, 5.4904645, 0.9445981,1.1503845,0.5036211,0.9906319, 0.361674836, 4.882798300,-0.027729378,  2.2390764, 50.1117089,  0.5223111
"<50",500,"l0", 1.3001641, 1.8694849, 0.9707536,1.1510626,0.5040217,0.9911341, 0.149101509, 1.282423241,-0.007238594,  1.1421982, 15.7298306,  0.3501138
"<50",100,"l1", 1.1019256, 2.0825110, 0.6532262,1.1511797,0.5042382,0.9912839,-0.049254148, 1.959150745,-0.290508328,  1.4005424,  6.0486254,  0.6731050
"<50",250,"l1", 1.1948817, 1.7126233, 0.8581235,1.1511797,0.5042382,0.9912839, 0.043701939, 1.389555673,-0.103782477,  1.1795866,  5.4160552,  0.4837314
"<50",500,"l1", 1.1961622, 1.2095910, 0.9332531,1.1511797,0.5042382,0.9912839, 0.044982446, 0.739118001,-0.040544358,  0.8608831,  3.3747381,  0.3320902
"<50",100,"l2", 0.6472470, 0.4555681, 0.4990447,1.1511797,0.5042382,0.9912839,-0.503932702, 0.699617846,-0.455808996,  0.9764965,  2.3769361,  0.5760430
"<50",250,"l2", 0.8259962, 0.4961159, 0.7131417,1.1511797,0.5042382,0.9912839,-0.325183539, 0.552738881,-0.262492653,  0.8114598,  1.8899501,  0.4193720
"<50",500,"l2", 0.9458442, 0.4947712, 0.8240688,1.1511797,0.5042382,0.9912839,-0.205335502, 0.369228431,-0.150963495,  0.6413893,  1.2192520,  0.3061677
"<10",100,"er", 1.4235615, 3.4096103, 0.7963918,1.1337891,0.4670127,0.9821464, 0.289772401, 3.140823996,-0.149795115,  1.7957438,  8.7596639,  0.7496943
"<10",250,"er", 1.3431652, 2.2089633, 0.9297112,1.1436587,0.4824155,0.9881434, 0.199506591, 1.791400838,-0.038316255,  1.3532001,  5.9524419,  0.5149632
"<10",500,"er", 1.2711417, 1.4131108, 0.9696987,1.1477184,0.4882305,0.9901842, 0.123423237, 0.898928317,-0.007455273,  0.9561041,  3.5732809,  0.3510330
"<10",100,"l0", 1.4199129, 3.3893648, 0.7932629,1.1345211,0.4710458,0.9822542, 0.285391772, 3.136083026,-0.153652988,  1.7937211,  8.6776637,  0.7523768
"<10",250,"l0", 1.3458052, 2.2224269, 0.9305571,1.1431663,0.4799768,0.9880213, 0.202638935, 1.796133519,-0.036660015,  1.3554123,  6.0001065,  0.5146889
"<10",500,"l0", 1.2726287, 1.4172990, 0.9691687,1.1474545,0.4865083,0.9901842, 0.125174187, 0.903454803,-0.008265066,  0.9586953,  3.5715298,  0.3489842
